name, author, illustrator
デート・ア・ライブ, 橘公司, つなこ

title, release date, in library, completed, book cover source
1 十香デッドエンド, 2011-03-19, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v01.png
2 四糸乃パペット, 2011-08-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v02.png
3 狂三キラー, 2011-11-19, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v03.png
4 五河シスター, 2012-03-17, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v04.png
5 八舞テンペスト, 2012-08-17, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v05.png
6 美九リリィ, 2012-12-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v06.png
7 美九トゥルース, 2013-03-19, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v07.png
8 七罪サーチ, 2013-09-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v08.png
9 七罪チェンジ, 2013-12-09, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v09.png
10 鳶一エンジェル, 2014-03-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v10.png
11 鳶一デビル, 2014-09-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v11.png
12 五河ディザスター, 2015-06-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v12.png
13 二亜クリエイション, 2015-10-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v13.png
14 六喰プラネット, 2016-03-19, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v14.png
15 六喰ファミリー, 2016-09-17, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v15.png
16 狂三リフレイン, 2017-03-18, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v16.png
17 狂三ラグナロク, 2017-08-19, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v17.png
18 澪ゲームオーバー, 2018-03-20, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v18.png
19 澪トゥルーエンド, 2018-08-18, true, true, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v19.png
20 十香ワールド, 2019-03-20, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v20.png
21 十香グッドエンド 上, 2019-10-19, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v21.png
22 十香グッドエンド 下, 2020-03-19, true, false, C:\Users\Weij\Desktop\CS\LN_lib\src\main\resources\lib\ln\img\DAL_v22.png
